Team,Season,off_pass_att,off_pass_cmp,off_cmp_pct,off_yds_per_att,off_pass_yds,off_pass_td,off_int,off_qb_rating,off_first_downs,off_first_down_pct,off_pass_20plus,off_pass_40plus,off_pass_long,off_sacks_taken,off_sack_yds_lost,off_rush_att,off_rush_yds,off_rush_avg,off_rush_td,off_rush_20plus,off_rush_40plus,off_rush_long,off_rush_1st,off_rush_1st_pct,off_rush_fum,off_rec,off_rec_yds,off_yds_per_rec,off_rec_td,off_rec_20plus,off_rec_40plus,off_rec_long,off_rec_1st,off_rec_1st_pct,off_rec_fum,off_total_td,off_2pt_conv,off_3rd_att,off_3rd_md,off_4th_att,off_4th_md,off_scrim_plays,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td_allowed,def_pass_int_made,def_opp_qb_rating,def_pass_1st,def_pass_1st_pct,def_pass_20plus_allowed,def_pass_40plus_allowed,def_pass_long_allowed,def_rush_att,def_rush_yds,def_rush_avg,def_rush_td_allowed,def_rush_20plus_allowed,def_rush_40plus_allowed,def_rush_long_allowed,def_rush_1st,def_rush_1st_pct,def_rush_fum_recovered,def_rec_allowed,def_rec_yds_allowed,def_yds_per_rec_allowed,def_rec_td_allowed,def_rec_20plus_allowed,def_rec_40plus_allowed,def_rec_long_allowed,def_rec_1st,def_rec_1st_pct,def_rec_fum_recovered,def_passes_defended,def_fum_td,def_safety,def_int_td,def_sacks,def_comb_tackles,def_assist_tackles,def_solo_tackles,def_3rd_att,def_3rd_md,def_4th_att,def_4th_md,def_scrim_plays,def_forced_fumbles,def_fum_recovered,def_int_yds,def_longest_play,st_fg_made,st_fg_pct,st_xp_made,st_xp_pct,st_kick_return_td,st_punt_return_td,made_playoffs,won_playoff,championship_win,superbowl_win,preseaon_power_rank,normalized_power_rank
Titans,2023,494,304,61.5,7.1,3512,14,11,83.2,158,32,54,10,70,64,445,444,1846,4.2,16,10,2,69,103,23.2,6,304,3512,11.6,14,54,10,70,158,52,2,31,1,212,71,20,11,1002,571,387,67.8,7.3,4181,20,6,96.4,189,33.1,52,11,59T,480,1831,3.8,10,7,1,56T,103,21.5,3,387,4181,10.8,20,52,11,59T,189,48.8,2,55,0,0,1,45,1157,404,674,231,89,21,12,1096,13,8,86,44T,29,96.7,28,93.3,0,0,0,0,0,0,23,0.043478261
Vikings,2023,631,424,67.2,7.4,4700,30,19,92.4,220,34.9,74,7,62T,47,341,393,1553,4,7,5,0,31,79,20.1,9,424,4700,11.1,30,74,7,62,220,51.9,4,39,1,223,85,29,17,1071,606,426,70.3,7.1,4288,23,11,95.2,208,34.3,51,7,70T,446,1678,3.8,14,2,1,43,104,23.3,7,426,4288,10.1,23,51,7,70T,208,48.8,9,67,2,0,0,43,1158,421,681,232,96,25,18,1095,22,11,112,43,24,80,36,94.7,0,0,0,0,0,0,16,0.0625
49ers,2022,512,338,66,7.9,4049,30,9,102.2,188,36.7,56,6,57,31,193,504,2360,4.7,20,19,4,71,132,26.2,7,338,4049,12,30,56,6,57,188,55.6,4,53,0,211,95,17,7,1047,593,389,65.6,6.9,4096,20,20,82.7,188,31.7,48,11,77T,389,1321,3.4,11,2,0,25T,77,19.8,5,389,4096,10.5,20,48,11,77T,188,48.3,3,78,1,0,2,44,1017,355,632,218,85,25,10,1026,16,10,305,56,27,84.4,51,96.2,0,0,1,1,0,0,4,0.25
Bears,2022,377,223,59.2,6.9,2598,19,15,80.3,109,28.9,38,7,56,58,379,558,3014,5.4,18,20,8,67,148,26.5,10,223,2598,11.6,19,38,7,56,109,48.9,6,37,1,220,90,25,8,993,481,323,67.2,8,3840,22,14,94.4,184,38.2,50,10,68,542,2674,4.9,31,20,4,58,151,27.9,13,323,3840,11.9,22,50,10,68,184,57,4,50,0,0,0,20,1070,355,666,204,100,15,6,1043,14,9,201,42,25,92.6,27,84.4,0,0,0,0,0,0,32,0.03125
Bengals,2022,610,418,68.5,7.4,4520,35,12,101,221,36.2,54,10,60T,44,280,399,1528,3.8,14,7,1,40,96,24.1,0,418,4520,10.8,35,54,10,60,221,52.9,2,50,3,206,95,12,3,1053,559,329,58.9,6.8,3828,17,13,80.1,173,31,53,9,75T,407,1706,4.2,12,6,1,44T,102,25.1,4,329,3828,11.6,17,53,9,75T,173,52.6,6,75,1,0,0,30,962,362,570,212,84,23,9,996,14,10,133,46,24,82.8,40,90.9,0,0,1,1,0,0,5,0.2
Bills,2022,574,361,62.9,7.5,4291,35,14,95.8,212,36.9,51,12,98T,33,162,430,2232,5.2,15,20,2,44T,128,29.8,12,361,4291,11.9,35,51,12,98,212,58.7,3,53,2,193,97,13,7,1037,570,362,63.5,6.5,3721,21,17,82.1,181,31.8,48,7,67T,387,1673,4.3,10,8,2,81T,103,26.6,9,362,3721,10.3,21,48,7,67T,181,50,1,90,0,2,1,40,965,297,628,208,78,33,19,997,11,10,165,43T,27,87.1,48,96,2,0,1,0,0,0,1,1
Broncos,2022,571,345,60.4,7,4007,18,15,81.2,166,29.1,55,12,67T,63,415,444,1935,4.4,11,7,1,52,105,23.6,10,345,4007,11.6,18,55,12,67,166,48.1,1,29,1,230,67,24,12,1078,605,392,64.8,6.3,3819,20,15,83.1,180,29.8,46,5,63T,438,1866,4.3,12,9,3,62T,109,24.9,7,392,3819,9.7,20,46,5,63T,180,45.9,5,67,0,1,0,36,1103,419,646,220,75,14,9,1079,16,8,89,23,28,77.8,25,92.6,0,0,0,0,0,0,8,0.125
Browns,2022,540,335,62,6.9,3710,19,12,84.9,182,33.7,44,5,55T,44,266,532,2490,4.7,19,21,1,41,142,26.7,4,335,3710,11.1,19,44,5,55,182,54.3,3,42,1,231,88,42,23,1116,519,315,60.7,6.8,3547,20,11,85.2,166,32,50,7,75T,488,2295,4.7,22,15,3,71,129,26.4,9,315,3547,11.3,20,50,7,75T,166,52.7,4,85,2,0,1,34,1028,367,620,215,85,18,8,1041,11,9,57,40T,24,75,35,94.6,0,1,0,0,0,0,22,0.045454545
Buccaneers,2022,751,499,66.4,6.3,4746,26,10,89.8,240,32,50,8,63T,22,160,386,1308,3.4,5,3,0,35,79,20.5,5,499,4746,9.5,26,49,8,63,240,48.1,5,32,2,246,92,27,15,1159,570,364,63.9,6.6,3792,29,10,92.7,186,32.6,44,9,69T,458,2052,4.5,12,16,2,60,103,22.5,6,364,3792,10.4,29,44,9,69T,186,51.1,8,59,0,0,1,45,1054,365,675,236,87,24,14,1073,12,10,140,68T,31,81.6,24,96,0,0,0,0,0,0,3,0.333333333
Cardinals,2022,664,433,65.2,6,3966,17,17,79.2,189,28.5,40,3,77,46,340,434,1873,4.3,15,9,2,45,115,26.5,11,433,3966,9.2,17,40,3,77,189,43.6,4,37,5,233,82,41,18,1144,593,414,69.8,7,4181,29,11,98.2,218,36.8,40,5,64,446,2016,4.5,21,15,1,44,124,27.8,11,414,4181,10.1,29,40,5,64,218,52.7,5,77,2,0,3,36,1100,383,663,203,87,16,8,1075,12,9,246,56,28,87.5,24,88.9,0,0,0,0,0,0,17,0.058823529
